Group,Sex,TA,CA,Ix,Iy,J
None,Female,0.5516867,5.8809495,3.4185765,5.4721849,4.3910597
Pendant,Male,2.48939,6.3018696,7.3124517,5.1544004,6.3535742
None,Male,3.3476857,1.5741111,6.0143676,6.0039726,6.0092296
None,Male,2.5792189,7.0413437,8.0203098,5.2480585,6.669326
None,Male,5.3384065,6.6813394,11.9209473,9.2509832,10.5849799
None,Male,4.3844406,2.8072701,6.3046128,9.4478583,7.7229945
None,Female,-2.5809095,-0.1657153,-1.5661303,-5.6895714,-3.6725903
None,Male,6.0401197,37.5099128,47.6588841,54.4379937,50.936252
None,Male,0.6967947,-1.0454251,-5.2636345,5.5743513,-0.1489046
None,Male,6.0373889,4.2243521,15.3557849,3.2840784,9.7096451
None,Male,1.0418486,-9.6129838,-12.6822888,-9.9988051,-11.4546179
None,Male,1.076779,2.4773414,3.8661257,1.4951185,2.7215156
None,Male,3.1747905,0.8333333,-1.1646498,11.2093238,4.8308258
None,Male,-5.8645567,5.7656656,0.2857765,-4.4485458,-1.8641235
Pendant,Male,2.5055153,0.7471088,6.2342508,1.846162,4.0169652
Pendant,Male,0.7491209,4.4538299,0.9737875,2.5798099,1.7870179
None,Male,1.8568867,2.9709831,4.2262005,2.7538245,3.4433788
None,Male,1.539548,2.2599448,-0.2992962,7.7031913,3.9703525
None,Male,-3.087806,-2.0615889,-6.6594626,-5.7386358,-6.1614831
None,Male,0.8857999,0.2241549,0.4365763,2.2900969,1.3451004
None,Male,3.3739404,4.5735901,4.717749,9.7754615,7.243915
None,Male,1.2618744,-38.0607037,-37.8000865,-59.763503,-47.1169764
None,Female,-1.1373865,1.0781345,-3.3150663,2.4960083,-0.4565991
None,Male,2.7666057,2.8959424,3.3572413,-5.5010392,-1.3544109
None,Female,-2.6385574,1.6571724,1.2275621,-0.1714215,0.5452327
None,Male,-0.0947508,2.3976199,5.4883443,-1.1468454,2.1134648
None,Male,1.5612056,-7.2008863,-11.5463385,-2.515679,-6.8718889
None,Male,-0.2149921,1.7151243,-2.0269156,1.3374683,-0.5508233
Pendant,Female,0.1277792,2.1319797,2.088324,-1.5830567,0.4777624
Pendant,Male,2.4393703,3.1788079,2.7768256,7.682334,4.9494344
Pendant,Male,0.3794935,1.1855625,-3.7785819,5.5995786,0.9555892
None,Male,0.5628518,4.808855,3.5421927,6.9273267,5.1187026
Pendant,Male,-2.5505134,-2.3493516,-6.3615212,-3.554126,-4.9643377
None,Male,0.0321771,4.0215633,3.6912632,5.1857418,4.367875
None,Female,-2.8125615,-14.43539,-15.1060657,-18.9981178,-16.9623399
None,Male,2.5746653,3.2404879,2.4348116,9.3543953,6.1147738
None,Male,4.2864043,-4.2208654,9.0523577,-0.5469002,4.4864861
None,Male,3.5465694,2.3449232,5.852904,8.5187878,7.0499289
None,Male,-1.4128728,7.3134328,12.8965179,-4.3912745,4.1210682
None,Male,3.2021167,5.415764,12.7564932,2.0520848,7.3691633
